id,state,2007,2008,2009,2010,2011
1,Uttarakhand,18.12,12.65,18.13,10.02,9.36
2,Bihar,5.55,14.54,5.35,15.03,10.29
3,Gujarat,11,6.78,11.25,10.01,6.66
4,Jharkhand,20.52,-1.75,10.14,15.86,4.49
5,Haryana,8.45,8.17,11.72,7.41,8.03
6,Maharashtra,11.26,2.58,9.3,11.26,4.82
7,Madhya Pradesh,4.69,12.47,9.56,6.31,8.54
8,Rajasthan,5.14,9.09,6.7,14.41,8.34
9,Kerala,8.77,5.56,9.17,6.92,5.85
10,Andhra Pradesh,13.12,2.14,7.24,6.81,6.25
11,Himachal Pradesh,8.55,7.42,8.09,8.79,7.31
12,Tamil Nadu,6.13,5.45,10.83,13.12,7.39
13,Chhattisgarh,8.61,8.39,3.42,10.6,5.71
14,West Bengal,7.76,4.9,8.03,5.78,4.72
15,Karnataka,12.6,7.11,1.3,10.15,3.69
16,Odisha,10.94,7.75,4.55,8.01,3.98
17,Uttar Pradesh,7.32,6.99,6.58,7.86,5.58
18,Assam,4.82,5.72,9,5.23,4.63
19,Punjab,9.05,5.85,6.29,6.52,6.52
20,Jammu And Kashmir,6.4,6.46,4.5,5.65,7.95
21,Sikkim,7.61,16.39,73.61,8.7,10.77
22,Delhi,11.19,12.92,8.25,7.19,9.28
23,Mizoram,10.98,13.34,12.38,17.18,-2.55
24,Goa,5.54,10.02,10.2,16.89,20.21
25,Tripura,7.7,9.44,10.65,8.12,7.24
26,Arunachal Pradesh,12.06,8.73,9.42,3.8,5.56
27,Meghalaya,4.51,12.94,6.55,8.57,12.5
28,Manipur,5.96,6.56,6.89,-0.58,9.67
29,Nagaland,7.31,6.34,6.9,9.35,8.32
30,Andaman And Nicobar Islands,10.13,14.32,13.2,7.86,7.89
31,Chandigarh,7.28,8.1,5.49,1,3.37
32,Puducherry,8.59,8.13,16.28,6.19,5.1
